Reg.code;Region;FO;IndProd;PromPrices;FundsDeter;CapInvests;CreditsIndebted
1000;Российская Федерация;NA;101,1;109,8;48,8;94922;20888976
1001;Центральный федеральный округ;ЦФО;104;103,3;41,3;91683;10756692
31;Белгородская область;ЦФО;106,2;100,9;46,9;95036;248187
32;Брянская область;ЦФО;107,3;100;46,3;50641;77680
33;Владимирская область;ЦФО;104,6;99,5;45,6;51030;87898
36;Воронежская область;ЦФО;104,4;91,9;44,5;113475;267303
37;Ивановская область;ЦФО;107,7;97,7;44,2;24882;35905
40;Калужская область;ЦФО;108,1;91,7;36,8;91777;125067
44;Костромская область;ЦФО;101,8;94,4;48,8;41881;31811
46;Курская область;ЦФО;104,9;117,7;51,7;65920;158337
48;Липецкая область;ЦФО;103,4;105;52,6;100377;102498
50;Московская область;ЦФО;114,7;98,3;42,2;85764;1157736
57;Орловская область;ЦФО;98,9;100;48,9;62927;57611
62;Рязанская область;ЦФО;101,7;100,7;53;47839;83157
67;Смоленская область;ЦФО;102,5;89,9;50,6;57234;62018
68;Тамбовская область;ЦФО;103,5;112,3;58,1;111365;87235
69;Тверская область;ЦФО;104,5;88,6;46,8;56082;62692
71;Тульская область;ЦФО;112,8;97,2;43,2;69953;162004
76;Ярославская область;ЦФО;105,3;98,9;51,6;59317;126022
77;г. Москва;ЦФО;102,7;100,4;35,5;125866;7823531
1002;Северо-Западный федеральный округ;СЗФО;102;115,6;42,6;103799;2188849
10;Республика Карелия;СЗФО;103,7;107;47,2;51865;30545
11;Республика Коми;СЗФО;96;108,9;46;197456;26206
83;Ненецкий автономный округ;СЗФО;115,3;111,2;46,1;2625864;139085
29;Архангельская область ;СЗФО;100,6;108,5;71,7;50849;189600
35;Вологодская область;СЗФО;99,8;111,9;44,3;73245;155
39;Калининградская область;СЗФО;100,9;105,5;47,7;70953;138931
47;Ленинградская область;СЗФО;103,7;105,5;48,7;127119;80236
51;Мурманская область;СЗФО;106,6;92,4;40,3;131399;120539
53;Новгородская область;СЗФО;103,8;93,1;40;112340;189600
60;Псковская область;СЗФО;104,5;144,1;41,8;42179;28922
78;г. Санкт-Петербург;СЗФО;103,9;92,9;48,4;92811;33804
1003;Южный федеральный округ;ЮФО;106,4;114,9;45,9;79359;31525
1;Республика Адыгея;ЮФО;111,7;100,4;38,3;34988;1508387
8;Республика Калмыкия;ЮФО;104,3;112,6;40,1;59380;1251523
23;Краснодарский край;ЮФО;106,8;106,8;51,1;25023;22870
30;Астраханская область;ЮФО;104,9;89,6;44,3;107029;7096
34;Волгоградская область;ЮФО;108,6;137;33,1;110955;660593
61;Ростовская область;ЮФО;103,2;101,2;49,6;78455;36224
1004;Северо-Кавказский федеральный округ;СКФО;113;118,5;52,4;49116;133861
5;Республика Дагестан;СКФО;119,4;104,5;40,5;65791;390879
6;Республика Ингушетия ;СКФО;106,8;104;47,9;42190;311481
7;Кабардино-Балкарская Республика;СКФО;135,2;119,9;44,8;32883;27359
9;Карачаево-Черкесская Республика;СКФО;101,8;92,7;50,5;41944;6793
15;Республика Северная Осетия – Алания;СКФО;90,2;100;38,3;36134;38690
20;Чеченская Республика ;СКФО;103,9;96,1;38,2;42572;27408
26;Ставропольский край;СКФО;89,6;105;51,3;45081;16775
1005;Приволжский федеральный округ;ПФО;100,8;135,4;49,7;82956;22475
2;Республика Башкортостан;ПФО;109,7;92,6;49,5;78046;171981
12;Республика Марий Эл;ПФО;101;109,3;53,4;58737;2601702
13;Республика Мордовия;ПФО;102,9;111,3;53;65272;289696
16;Республика Татарстан;ПФО;97;107,4;61,2;159800;61666
18;Удмуртская Республика;ПФО;101;110,3;56,4;53942;84743
21;Чувашская Республика;ПФО;103,5;111,5;44,4;45036;615087
59;Пермский край;ПФО;106,8;108,4;62,3;85826;103198
43;Кировская область;ПФО;106,6;105,4;55,4;42862;63879
52;Нижегородская область;ПФО;98,8;109,3;60,4;71991;191960
56;Оренбургская область;ПФО;102,7;104,6;52,5;84709;50168
58;Пензенская область;ПФО;105,4;106,7;49,7;65852;339210
63;Самарская область;ПФО;95,3;111,1;58;94376;114800
64;Саратовская область;ПФО;104,5;111,5;51,2;56270;71877
73;Ульяновская область;ПФО;99,1;109,2;53,7;63060;389194
1006;Уральский федеральный округ;УФО;107,4;106,8;54,2;191824;140510
45;Курганская область;УФО;101,3;107,8;46,1;32156;85715
66;Свердловская область;УФО;101,8;106,1;61,3;80847;1709524
86;Ханты-Мансийский автономный округ – Югра;УФО;102,2;103;54,9;489902;30063
89;Ямало-Ненецкий автономный округ;УФО;107,7;122,6;58,5;150757;506668
72;Тюменская область ;УФО;102,3;110,8;62,9;473054;770903
74;Челябинская область;УФО;100,5;114,3;54,3;1451285;133096
1007;Сибирский федеральный округ;СФО;106;109;67,4;150757;133096
4;Республика Алтай;СФО;104,2;114;59,6;56824;172397
3;Республика Бурятия;СФО;96,4;106,3;49,5;36945;465410
17;Республика Тыва;СФО;100,6;107,6;48,5;41130;401889
19;Республика Хакасия;СФО;149;104,3;44,3;55828;1560408
22;Алтайский край;СФО;87,2;111,2;37,8;32988;13167
75;Забайкальский край;СФО;103,9;107,4;35,2;70291;49846
24;Красноярский край;СФО;109,5;102,2;39;138636;2683
38;Иркутская область;СФО;102,5;109;32,9;85372;14134
42;Кемеровская область;СФО;103,1;105,9;45,5;62643;117273
54;Новосибирская область;СФО;99;111;34,9;59698;19892
55;Омская область;СФО;107,9;111,5;40,6;47626;459075
70;Томская область;СФО;103,4;117,2;46;97575;168197
1008;Дальневосточный федеральный округ;ДФО;101,3;110,7;46,8;145911;277207
14;Республика Саха (Якутия);ДФО;97,1;111,1;47,4;206651;232397
41;Камчатский край;ДФО;102,2;110,3;45,4;72151;132338
25;Приморский край;ДФО;100,8;109;55,3;72085;74198
27;Хабаровский край;ДФО;101,9;115,5;38,5;85308;499523
28;Амурская область;ДФО;113,2;108,4;41;126537;67436
49;Магаданская область;ДФО;97,8;109,2;36,3;412113;24951
65;Сахалинская область;ДФО;101,8;107,9;33,6;494963;191067
79;Еврейская автономная область;ДФО;92,1;104,7;34,6;71826;140458
87;Чукотский автономный округ;ДФО;100,8;105,9;35,9;290634;26099
